,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
I Live animals/products,0.99,0.95,1.39,1.59,1.62,1.49,1.74,2.13,2.06,2.37
II Vegetable products,10.42,10.13,12.24,13.58,17.39,15.25,19.37,21.46,18.62,20.3
III Fats & oils,3.98,5.17,6.08,5.64,6.28,7.59,9.4,9.01,8.63,9.13
IV Prepared foodstuffs,3.23,3.15,3.69,3.93,4.16,4.36,4.87,3.7,5.23,5.73
V Mineral products,4.58,4.18,6.23,7.04,7.56,7.4,12.31,7.79,4.47,5.47
VI Chemicals,2.55,1.91,2.09,2.45,2.49,2.57,3.75,1.98,1.35,1.46
VII Plastics/rubber,0.51,0.52,0.71,0.88,0.93,0.88,1.53,0.74,0.54,0.58
VIII Hides,0.22,0.24,0.29,0.32,0.29,0.26,0.32,0.2,0.2,0.2
IX Wood,1.82,1.92,2.04,2.54,2.41,2.4,3.44,3.51,2.84,2.67
X Paper,0.68,0.63,0.63,0.66,0.56,0.54,0.72,0.43,0.36,0.39
XI Textiles,1.14,1.24,1.38,1.55,1.55,1.41,1.54,1.25,1.25,1.14
XII Footwear,0.27,0.29,0.32,0.38,0.35,0.31,0.35,0.33,0.31,0.27
XIII Stone/cement,0.44,0.42,0.52,0.6,0.64,0.7,0.9,0.52,0.53,0.58
XIV Precious,0.1,0.06,0.11,0.08,0.11,0.14,0.17,0.05,0.03,0.05
XV Base metals,12.53,11.43,13.88,16.07,14.05,12.13,22.35,9.66,6.99,7.34
XVI Machinery/electrical,5.74,5.62,6.76,7.51,7.29,7.23,8.45,6.64,5.79,5.67
XVII Vehicles/transport,0.84,0.68,0.78,0.83,1.09,0.99,0.93,0.57,0.58,0.72
XVIII Instruments,0.22,0.18,0.19,0.19,0.24,0.21,0.22,0.19,0.15,0.16
XIX Arms,,,,,0.0,0.0,0.0,,0.0,0.0
XX Misc manufactured,0.78,0.91,1.27,1.48,1.58,1.82,2.29,1.83,1.96,2.01
XXI Art,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.02
22,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0
