BREAKDOWN,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
A,10.98,10.95,11.41,13.27,13.8,14.58,21.75,13.88,13.69,13.92,16.22
B,4.36,5.15,6.65,7.87,8.6,7.16,12.87,7.1,7.75,7.64,6.83
C,10.84,11.41,13.43,15.1,16.6,15.82,20.54,12.31,15.06,16.07,17.82
D,2.44,2.89,3.23,4.11,4.83,4.56,6.63,7.1,8.45,8.93,9.41
E,0.36,0.33,0.37,0.42,0.56,0.6,0.7,0.5,0.49,0.47,0.49
F,1.78,1.86,2.42,2.99,4.16,4.43,5.51,2.14,2.84,3.24,3.74
G,12.54,12.45,15.39,17.34,20.35,21.82,27.2,19.94,23.67,22.85,26.29
H,6.18,6.13,7.17,8.35,10.24,9.73,10.82,7.0,7.91,8.81,8.86
I,0.55,0.61,0.7,0.92,1.37,1.14,1.8,0.93,1.16,1.27,1.44
J,3.32,3.49,4.15,5.1,7.07,7.77,9.37,6.39,7.24,7.71,8.82
K,3.09,2.56,3.14,3.64,4.47,4.89,5.94,4.83,4.55,5.81,5.36
L,5.63,5.71,6.45,7.58,9.34,9.98,11.54,7.29,8.72,10.1,11.67
M,2.55,2.68,3.25,4.17,5.48,5.09,5.78,3.07,3.68,3.9,4.55
N,0.99,1.16,1.33,1.79,2.41,2.22,2.49,1.66,1.73,1.88,2.27
O,4.35,4.82,6.16,7.82,10.32,11.37,12.33,35.13,38.82,38.51,44.95
P,3.79,3.48,5.01,5.83,6.68,6.9,8.61,6.89,5.96,6.16,7.21
Q,2.36,2.3,2.86,2.84,3.69,4.22,4.94,4.65,4.95,5.32,5.88
R,0.57,0.53,0.65,0.75,0.93,0.9,1.17,0.81,1.08,1.29,1.46
